color_code,colour_name,hex,R,G,B,css_variable,source_page,note
175,dark sepia,#4f4d4a,79,77,74,--fc-175,2,cross-validated (independent extraction + pixel)
176,Van-Dyck-brown,#755c54,117,92,84,--fc-176,2,cross-validated (independent extraction + pixel)
177,walnut brown,#675449,103,84,73,--fc-177,2,cross-validated (independent extraction + pixel)
178,nougat,#9e8470,158,132,112,--fc-178,2,cross-validated (independent extraction + pixel)
179,bistre,#87674e,135,103,78,--fc-179,2,cross-validated (independent extraction + pixel)
180,raw umber,#a37a48,163,122,72,--fc-180,2,cross-validated (independent extraction + pixel)
181,Payne´s grey,#505358,80,83,88,--fc-181,2,cross-validated (independent extraction + pixel)
182,brown ochre,#ca985b,202,152,91,--fc-182,2,cross-validated (independent extraction + pixel)
183,light yellow ochre,#f3bf57,243,191,87,--fc-183,2,cross-validated (independent extraction + pixel)
184,dark Naples ochre,#f5c553,245,197,83,--fc-184,2,cross-validated (independent extraction + pixel)
185,Naples yellow,#fad351,250,211,81,--fc-185,2,cross-validated (independent extraction + pixel)
186,terracotta,#ea8d52,234,141,82,--fc-186,2,cross-validated (independent extraction + pixel)
187,burnt ochre,#db995d,219,153,93,--fc-187,2,cross-validated (independent extraction + pixel)
188,sanguine,#d7704f,215,112,79,--fc-188,2,cross-validated (independent extraction + pixel)
189,cinnamon,#e7ae97,231,174,151,--fc-189,3,cross-validated (independent extraction + pixel)
190,Venetian red,#dd7d75,221,125,117,--fc-190,3,cross-validated (independent extraction + pixel)
191,Pompeian red,#e57b84,229,123,132,--fc-191,3,cross-validated (independent extraction + pixel)
192,India red,#984849,152,72,73,--fc-192,3,cross-validated (independent extraction + pixel)
193,burnt carmine,#b05164,176,81,100,--fc-193,3,cross-validated (independent extraction + pixel)
194,red violet,#90496c,144,73,108,--fc-194,3,cross-validated (independent extraction + pixel)
199,black,#000000,0,0,0,--fc-199,3,cross-validated (independent extraction + pixel)
205,cadmium yellow lemon,#f1e857,241,232,87,--fc-205,3,cross-validated (independent extraction + pixel)
217,middle cadmium red,#be4049,190,64,73,--fc-217,3,cross-validated (independent extraction + pixel)
219,deep scarlet red,#e33e56,227,62,86,--fc-219,3,cross-validated (independent extraction + pixel)
220,light indigo,#e3e7ef,227,231,239,--fc-220,5,pixel-sampled
223,deep red,#de2437,222,36,55,--fc-223,3,cross-validated (independent extraction + pixel)
225,dark red,#aa2e4f,170,46,79,--fc-225,3,cross-validated (independent extraction + pixel)
226,alizarin crimson,#da2855,218,40,85,--fc-226,3,cross-validated (independent extraction + pixel)
230,cold grey I,#d3d8df,211,216,223,--fc-230,3,cross-validated (independent extraction + pixel)
231,cold grey II,#c8ccd3,200,204,211,--fc-231,3,cross-validated (independent extraction + pixel)
232,cold grey III,#b7b9bf,183,185,191,--fc-232,3,cross-validated (independent extraction + pixel)
233,cold grey IV,#989b9e,152,155,158,--fc-233,3,cross-validated (independent extraction + pixel)
234,cold grey V,#77787c,119,120,124,--fc-234,3,cross-validated (independent extraction + pixel)
235,cold grey VI,#5f5c5b,95,92,91,--fc-235,3,cross-validated (independent extraction + pixel)
239,lilac,#ecd6ea,236,214,234,--fc-239,5,pixel-sampled
246,Prussian blue,#126295,18,98,149,--fc-246,3,cross-validated (independent extraction + pixel)
247,indanthrene blue,#475a96,71,90,150,--fc-247,3,cross-validated (independent extraction + pixel)
249,mauve,#655199,101,81,153,--fc-249,3,cross-validated (independent extraction + pixel)
250,gold,#fffdf4,255,253,244,--fc-250,3,"metallic – approximate (gradient swatch, no single true hex)"
251,silver,#f2f9fe,242,249,254,--fc-251,3,"metallic – approximate (gradient swatch, no single true hex)"
252,copper,#fdf2f8,253,242,248,--fc-252,3,"metallic – approximate (gradient swatch, no single true hex)"
263,caput mortuum violet,#8b5152,139,81,82,--fc-263,3,pixel-sampled
264,dark phthalo green,#008b71,0,139,113,--fc-264,3,pixel-sampled
266,permanent green,#2d863c,45,134,60,--fc-266,3,pixel-sampled
267,pine green,#385f48,56,95,72,--fc-267,3,pixel-sampled
268,green gold,#d09a2e,208,154,46,--fc-268,3,pixel-sampled
270,warm grey I,#e0d8d5,224,216,213,--fc-270,3,cross-validated (independent extraction + pixel)
271,warm grey II,#d0c8c5,208,200,197,--fc-271,3,cross-validated (independent extraction + pixel)
272,warm grey III,#b2aca6,178,172,166,--fc-272,3,cross-validated (independent extraction + pixel)
273,warm grey IV,#858485,133,132,133,--fc-273,3,cross-validated (independent extraction + pixel)
274,warm grey V,#6d6664,109,102,100,--fc-274,3,cross-validated (independent extraction + pixel)
275,warm grey VI,#615a5b,97,90,91,--fc-275,3,cross-validated (independent extraction + pixel)
276,chrome oxide green fiery,#008f78,0,143,120,--fc-276,3,pixel-sampled
278,chrome oxide green,#53654c,83,101,76,--fc-278,3,pixel-sampled
280,burnt umber,#725b47,114,91,71,--fc-280,3,pixel-sampled
283,burnt siena,#935f47,147,95,71,--fc-283,3,pixel-sampled
290,ruby metallic,#dfd1db,223,209,219,--fc-290,6,"metallic – approximate (gradient swatch, no single true hex)"
292,blue metallic,#d6e0e4,214,224,228,--fc-292,6,"metallic – approximate (gradient swatch, no single true hex)"
294,green metallic,#d9e1de,217,225,222,--fc-294,6,"metallic – approximate (gradient swatch, no single true hex)"
406,pastel chrome yellow,#f2e899,242,232,153,--fc-406,7,pixel-sampled
409,pastel orange,#fad76f,250,215,111,--fc-409,7,pixel-sampled
418,pastel scarlet red,#ef8157,239,129,87,--fc-418,7,pixel-sampled
419,pastel magenta,#e9badd,233,186,221,--fc-419,7,pixel-sampled
442,pastel madder,#e16495,225,100,149,--fc-442,7,pixel-sampled
445,pastel phthalo blue,#5cbbed,92,187,237,--fc-445,7,pixel-sampled
446,pastel sky blue,#a7d9ff,167,217,255,--fc-446,7,pixel-sampled
461,pastel phthalo green,#7bccbb,123,204,187,--fc-461,7,pixel-sampled
466,pastel permanent green,#a7d66b,167,214,107,--fc-466,7,pixel-sampled
470,pastel may green,#d3e869,211,232,105,--fc-470,7,pixel-sampled
475,pastel sepia,#9c9a93,156,154,147,--fc-475,7,pixel-sampled
480,pastel umber,#b88a6d,184,138,109,--fc-480,7,pixel-sampled
